Head,BTHotspot,WIFI5Ghz,HotspotVoice,Cell,IMU,BDR_Single_Chain_0,EDR_Single_Chain_0,BLE_Single_Chain_0,HR_Single_Chain_0,BDR_Single_Chain_1,EDR_Single_Chain_1,BLE_Single_Chain_1,HR_Single_Chain_1,BDR_Dual_Chain_0,EDR_Dual_Chain_0,BLE_Dual_Chain_0,HR_Dual_Chain_0,BDR_Dual_Chain_1,EDR_Dual_Chain_1,BLE_Dual_Chain_1,HR_Dual_Chain_1
off,off,off,off,off,on,76,68,76,76,76,68,76,76,76,68,18,18,76,68,18,18
off,off,off,off,on,on,76,68,76,76,76,68,76,76,76,68,18,18,76,68,18,18
off,off,off,on,off,on,74,68,74,74,76,68,76,76,76,68,18,18,76,68,18,18
off,off,off,on,on,on,74,68,74,74,76,68,76,76,76,68,18,18,76,68,18,18
off,off,on,off,off,on,74,68,74,74,76,68,76,76,76,68,18,18,76,68,18,18
off,off,on,off,on,on,74,68,74,74,76,68,76,76,76,68,18,18,76,68,18,18
off,off,on,on,off,on,74,68,74,74,76,68,76,76,76,68,18,18,76,68,18,18
off,off,on,on,on,on,74,68,74,74,76,68,76,76,76,68,18,18,76,68,18,18
off,on,off,off,off,on,74,68,74,74,76,68,76,76,76,68,18,18,76,68,18,18
off,on,off,off,on,on,74,68,74,74,76,68,76,76,76,68,18,18,76,68,18,18
off,on,off,on,off,on,74,68,74,68,76,68,76,76,76,68,18,18,76,68,18,18
off,on,off,on,on,on,74,68,74,74,76,68,76,76,76,68,18,18,76,68,18,18
off,on,on,off,off,on,74,68,74,74,76,68,76,76,76,68,18,18,76,68,18,18
off,on,on,off,on,on,74,68,74,74,76,68,76,76,76,68,18,18,76,68,18,18
off,on,on,on,off,on,74,68,74,74,76,68,76,76,76,68,18,18,76,68,18,18
off,on,on,on,on,on,74,68,74,74,76,68,76,76,76,68,18,18,76,68,18,18
on,off,off,off,off,any,52,52,52,52,48,48,48,48,76,68,18,18,76,68,18,18
on,off,off,off,on,any,52,52,52,52,48,48,48,48,76,68,18,18,76,68,18,18
on,off,off,on,off,any,52,52,52,52,48,48,48,48,76,68,18,18,76,68,18,18
on,off,off,on,on,any,52,52,52,52,48,48,48,48,76,68,18,18,76,68,18,18
on,off,on,off,off,any,52,52,52,52,48,48,48,48,76,68,18,18,76,68,18,18
on,off,on,off,on,any,52,52,52,52,48,48,48,48,76,68,18,18,76,68,18,18
on,off,on,on,off,any,52,52,52,52,48,48,48,48,76,68,18,18,76,68,18,18
on,off,on,on,on,any,52,52,52,52,48,48,48,48,76,68,18,18,76,68,18,18
on,on,off,off,off,any,52,52,52,52,48,48,48,48,76,68,18,18,76,68,18,18
on,on,off,off,on,any,52,52,52,52,48,48,48,48,76,68,18,18,76,68,18,18
on,on,off,on,off,any,52,52,52,52,48,48,48,48,76,68,18,18,76,68,18,18
on,on,off,on,on,any,52,52,52,52,48,48,48,48,76,68,18,18,76,68,18,18
on,on,on,off,off,any,52,52,52,52,48,48,48,48,76,68,18,18,76,68,18,18
on,on,on,off,on,any,52,52,52,52,48,48,48,48,76,68,18,18,76,68,18,18
on,on,on,on,off,any,52,52,52,52,48,48,48,48,76,68,18,18,76,68,18,18
on,on,on,on,on,any,52,52,52,52,48,48,48,48,76,68,18,18,76,68,18,18
off,off,any,off,any,off,76,68,76,76,76,68,76,76,76,68,18,18,76,68,18,18
off,on,any,any,any,off,74,68,74,74,76,68,76,76,76,68,18,18,76,68,18,18
off,any,any,on,any,off,74,68,74,74,76,68,76,76,76,68,18,18,76,68,18,18
